"16cell_1-10" "4cell_2-2" "8cell_1-4" "early2cell_0-2" "earlyblast_3-12" "late2cell_5-2" "lateblast_1-10" "mid2cell_0-1" "midblast_1-12" "zy1"
"1110037F02Rik" 42 715 15 745 0 1005 1632 111 1047 2920
"1110038B12Rik" 539 909 140 116 2 913 336 19 1066 0
"1110038D17Rik" 368 0 2 0 0 525 140 0 8 130
"1110038F14Rik" 30 212 139 117 1564 4609 134 569 341 279
"1110049F12Rik" 5 1317 126 564 5 2814 1039 604 0 3072
"1110051M20Rik" 0 0 0 308 0 1 0 101 19 419
"1110054M08Rik" 0 0 41 0 0 1 0 42 7 67
"1110054O05Rik" 122 377 21 74 0 882 585 141 0 631
"1110057K04Rik" 2434 632 187 132 41 1259 564 53 323 334
"1110058L19Rik" 1 154 42 960 12 36 198 51 828 1409
"1110059E24Rik" 889 446 112 1007 2721 2796 928 625 2145 523
"1110059G10Rik" 841 421 184 29 0 414 520 89 1601 1391
"1110059M19Rik" 0 0 0 241 0 0 0 77 0 87
"1110065P20Rik" 0 9 0 0 0 0 0 0 0 1
"1110067D22Rik" 711 4 25 77 0 1683 0 5 2 661
"1190002F15Rik" 0 0 0 0 0 0 0 0 44 0
"1190002H23Rik" 0 0 0 0 1 0 1 0 10 1
"1190002N15Rik" 0 0 6 639 255 8 32 391 177 1689
"1190003J15Rik" 0 0 0 0 0 257 0 0 167 0
"1190003K10Rik" 0 0 0 0 0 0 0 0 0 0
"1190005F20Rik" 519 1028 66 163 0 1266 720 5 122 729
"1190005I06Rik" 0 0 0 122 0 459 0 26 0 1346
"1190007F08Rik" 153 0 69 0 0 3 814 0 0 0
"1190007I07Rik" 73 0 0 105 0 0 124 42 370 125
"1200009I06Rik" 0 0 0 0 0 0 1 0 0 0
"1200011I18Rik" 1013 675 129 325 92 2900 23 38 521 889
"1200011M11Rik" 517 1184 194 174 0 14529 0 555 318 5347
"1200014J11Rik" 165 705 61 922 3 3904 0 218 166 1683
"1200016B10Rik" 1652 1270 528 2392 0 11878 2212 853 802 8359
"1300001I01Rik" 1624 867 343 381 4238 1625 824 260 4130 1524
"1300002E11Rik" 0 5 1 146 0 1 256 3 93 860
"1300002K09Rik" 1 0 0 145 0 0 0 161 0 937
"1300010F03Rik" 0 0 30 935 0 10 1 224 246 2234
"1300014I06Rik" 164 0 0 0 0 0 0 0 0 0
"1300015D01Rik" 0 0 0 0 0 0 0 0 0 0
"1300017J02Rik" 0 0 0 0 0 0 0 0 0 0
"1300018I17Rik" 0 670 2 581 0 259 32 291 58 4090
"1300018J18Rik" 15 3 5 0 0 2 0 0 0 46
"1500001M20Rik" 1 3 3 265 0 409 805 7 1 413
"1500002O10Rik" 0 0 0 0 1 0 0 0 0 0
"1500002O20Rik" 71 26 17 0 1 3 0 0 0 61
"1500003O03Rik" 572 1724 527 1808 6299 4582 1725 815 1272 3141
"1500004A13Rik" 0 0 0 0 0 156 0 0 37 0
"1500009C09Rik" 0 57 2 4 0 361 0 3 0 0
"1500009L16Rik" 419 0 13 17 1 6 166 0 1858 0
"1500010J02Rik" 268 448 12 180 0 1336 676 155 986 204
"1500011B03Rik" 57 9 23 92 565 4 111 3 86 154
"1500011H22Rik" 0 20 20 31 0 837 145 580 1 550
"1500011K16Rik" 0 51 29 0 8 1 287 0 506 25
"1500012F01Rik" 626 342 236 30 5 1376 792 105 2335 150
"1500015A07Rik" 0 272 0 151 0 282 0 19 0 314
"1500015O10Rik" 0 0 0 0 0 0 0 0 0 0
"1500016L03Rik" 0 0 0 0 0 0 0 0 0 0
"1500017E21Rik" 0 0 0 24 0 0 0 2 0 3
"1500031L02Rik" 22 1 0 157 0 154 604 4 552 116
"1500032L24Rik" 11 17 64 14 450 113 482 4 939 7
"1520402A15Rik" 0 0 0 6 0 0 0 0 0 9
"1600002D24Rik" 0 0 0 20 0 0 0 0 0 0
"1600002H07Rik" 0 372 60 85 0 1509 387 525 434 692
"1600002K03Rik" 290 441 109 0 0 1436 243 191 0 0
"1600010M07Rik" 511 13 0 0 0 0 0 57 0 0
"1600012F09Rik" 364 443 0 181 0 11 437 3 56 554
"1600012H06Rik" 291 1020 5 1 0 650 75 70 247 4
"1600014C10Rik" 0 0 0 23 2 18 0 3 621 153
"1600014C23Rik" 0 0 0 0 0 0 0 0 0 0
"1600014K23Rik" 0 0 0 0 1297 0 259 0 0 0
"1600015I10Rik" 0 0 1 0 1 2366 0 117 0 0
"1600016N20Rik" 0 0 0 0 0 0 0 0 0 0
"1600019K03Rik" 0 0 0 0 0 0 0 0 0 0
"1600020E01Rik" 0 13 13 0 2 1652 356 203 189 0
"1600021P15Rik" 0 0 0 0 0 10 824 5 609 34
"1600025M17Rik" 0 340 4 1 0 14044 0 385 0 0
"1600027N09Rik" 0 0 0 99 0 184 0 4 0 765
"1600029D21Rik" 0 0 0 0 2137 9 1864 0 488 0
"1600029I14Rik" 0 0 0 0 0 0 0 0 0 0
"1600029O15Rik" 6 2 4 0 14 17 0 0 4 13
"1700001C02Rik" 0 0 0 0 0 0 0 0 0 0
"1700001C19Rik" 1 0 0 0 0 0 177 0 0 0
"1700001F09Rik" 0 0 0 0 0 0 0 0 0 0
"1700001G11Rik" 0 0 0 2 0 0 0 3 0 0
"1700001G17Rik" 0 0 0 0 0 707 0 1 0 0
"1700001J03Rik" 0 0 0 0 0 0 0 0 0 0
"1700001J11Rik" 0 0 0 0 0 1 0 0 0 1
"1700001K19Rik" 0 0 0 0 0 57 0 0 0 0
"1700001K23Rik" 0 0 0 0 0 0 0 0 0 0
"1700001L05Rik" 3 6 2 2309 0 1131 0 397 1 6065
"1700001L19Rik" 0 0 0 0 0 3 0 0 0 0
"1700001O22Rik" 0 0 1 0 0 14 0 0 0 0
"1700001P01Rik" 0 0 0 0 0 0 0 0 0 0
"1700003E16Rik" 0 0 0 0 2 0 0 1 0 0
"1700003F12Rik" 0 0 0 0 0 0 0 0 0 0
"1700003G18Rik" 0 0 0 0 0 0 0 0 0 0
"1700003H04Rik" 0 0 0 0 0 0 0 0 0 0
"1700003L19Rik" 0 0 0 0 0 0 0 0 0 0
"1700003M02Rik" 0 0 0 163 0 3 0 0 0 0
"1700003M07Rik" 0 0 0 0 0 0 0 0 0 0
"1700006A11Rik" 0 0 0 0 0 0 0 0 0 0
"1700006E09Rik" 0 0 0 0 0 0 0 0 0 0
"1700007B14Rik" 0 0 0 0 0 0 0 0 0 0
"1700007E06Rik" 74 3 0 0 0 1 0 0 0 1
"1700007F19Rik" 0 0 0 0 0 0 0 0 0 9
"1700007G11Rik" 0 0 0 0 0 0 0 0 0 0
"1700007I08Rik" 0 0 0 0 0 0 1 0 0 0
"1700007K09Rik" 0 0 0 0 0 0 0 0 0 0
"1700007K13Rik" 0 0 0 0 16 1 353 0 0 0
"1700007P06Rik" 0 0 0 0 0 0 0 0 0 0
"1700008A04Rik" 0 0 0 0 0 0 0 0 0 0
"1700008F21Rik" 0 1 0 0 0 20 24 0 12 0
"1700008I05Rik" 0 0 0 0 0 0 0 0 0 0
"1700008J07Rik" 1 0 0 61 0 1166 16 2 0 58
"1700008K24Rik" 0 0 0 0 0 0 0 0 0 0
"1700008O03Rik" 0 0 0 0 0 0 0 0 0 0
"1700008P02Rik" 0 0 0 0 0 0 0 0 0 0
"1700008P20Rik" 0 0 0 0 0 0 0 0 0 0
"1700009J07Rik" 0 0 0 0 0 0 0 0 0 0
"1700009N14Rik" 0 0 0 0 0 0 0 0 0 0
"1700009P17Rik" 0 0 0 0 0 109 0 1 0 0
"1700010B08Rik" 0 0 0 0 0 0 0 0 0 0
"1700010D01Rik" 0 135 0 25 0 4053 0 165 0 0
"1700010I02Rik" 0 0 0 0 0 0 0 0 0 0
"1700010I14Rik" 0 0 0 6 0 0 0 0 0 398
"1700010J16Rik" 0 0 0 0 0 0 0 0 0 0
"1700010K23Rik" 0 0 0 0 0 0 0 0 0 0
"1700010M22Rik" 0 0 0 0 0 0 0 0 0 0
"1700011A15Rik" 0 0 0 1 0 0 0 0 0 0
"1700011E24Rik" 0 0 0 0 0 0 0 0 0 0
"1700011F03Rik" 0 0 0 0 0 0 0 0 0 0
"1700011F14Rik" 0 0 0 156 0 0 0 8 0 760
"1700011H14Rik" 0 0 0 0 0 0 0 0 0 0
"1700011I03Rik" 0 0 0 0 0 0 0 0 0 0
"1700011L22Rik" 0 0 0 0 0 0 0 0 0 0
"1700012A03Rik" 0 0 0 0 0 0 0 0 0 0
"1700012A16Rik" 0 0 0 82 0 1152 0 97 0 142
"1700012B07Rik" 0 0 0 0 0 0 0 0 0 0
"1700012B09Rik" 0 0 0 0 0 0 0 0 0 0
"1700012B15Rik" 240 20 80 9 0 2749 0 1057 412 22
"1700012D14Rik" 0 0 0 19 0 0 0 0 0 79
"1700012L04Rik" 0 0 0 0 0 0 0 0 0 0
"1700012P22Rik" 0 0 0 0 0 0 0 0 0 0
"1700013D24Rik" 0 0 0 0 0 0 0 0 0 0
"1700013F07Rik" 0 0 0 0 0 0 0 0 0 0
"1700013G24Rik" 0 0 0 0 0 1102 0 125 0 0
"1700013H16Rik" 0 0 11 0 0 0 0 0 0 0
"1700013N18Rik" 0 0 0 0 0 4 1 0 1 0
"1700014N06Rik" 0 0 0 0 0 21 0 0 0 0
"1700015E13Rik" 0 0 0 0 0 0 0 0 0 0
"1700015F17Rik" 2 0 0 0 256 2 0 0 9 0
"1700015G11Rik" 0 0 0 19 0 0 0 5 0 76
"1700016C15Rik" 0 0 0 0 0 0 0 0 0 0
"1700016D06Rik" 0 0 0 0 0 1 0 0 0 82
"1700016H13Rik" 0 0 0 26 0 0 0 0 0 0
"1700016K19Rik" 0 0 35 32 0 3 0 0 0 34
"1700016L21Rik" 0 0 0 0 0 0 0 0 0 0
"1700016M24Rik" 0 0 0 0 0 0 0 0 0 0
"1700016P04Rik" 0 0 0 0 0 0 0 0 0 0
"1700017B05Rik" 799 13 71 595 4 12127 0 1086 221 1153
"1700017D01Rik" 0 0 0 0 0 4 0 0 0 0
"1700017G19Rik" 0 0 0 0 0 0 0 0 0 0
"1700017J07Rik" 0 0 0 0 0 0 0 0 0 0
"1700017N19Rik" 0 0 0 0 0 0 0 0 0 0
"1700018A04Rik" 0 0 0 0 0 0 0 0 0 0
"1700018A14Rik" 0 0 0 0 0 0 0 0 0 0
"1700018B08Rik" 0 0 0 31 0 0 0 14 0 182
"1700018B24Rik" 0 0 0 1046 0 41 127 207 177 3580
"1700018C11Rik" 0 0 0 0 0 0 0 0 0 0
"1700018F24Rik" 0 0 0 0 0 0 0 0 0 0
"1700018L02Rik" 0 0 0 0 0 0 0 0 0 0
"1700018L24Rik" 0 0 0 0 0 0 0 0 0 0
"1700019A02Rik" 0 0 0 0 0 14 0 0 0 0
"1700019B03Rik" 1 0 1 39 1 0 0 2 0 343
"1700019D03Rik" 0 0 75 166 0 0 211 4 0 727
"1700019E08Rik" 0 0 0 30 0 0 0 0 0 0
"1700019E19Rik" 0 0 0 1400 1 1716 557 392 1176 7375
"1700019G17Rik" 0 2 0 0 0 12 206 10 0 0
"1700019G24Rik" 0 0 0 0 0 0 0 0 0 0
"1700019L03Rik" 92 254 4 0 0 220 0 138 0 0
"1700019M22Rik" 0 1 4 164 0 9609 0 510 0 41
"1700019N12Rik" 344 0 40 0 0 3 0 0 0 0
"1700019N19Rik" 0 0 0 0 0 0 0 0 0 0
"1700019O17Rik" 0 0 0 0 0 0 0 0 0 0
"1700020A23Rik" 0 0 0 0 0 0 0 0 0 0
"1700020C07Rik" 0 0 0 0 1 0 0 0 0 0
"1700020D05Rik" 0 0 0 0 0 0 0 0 0 0
"1700020I14Rik" 0 373 5 0 1911 325 316 78 248 176
"1700020L24Rik" 0 0 0 0 0 0 0 0 0 0
"1700020N01Rik" 0 0 0 0 0 0 0 0 0 0
"1700020N18Rik" 0 0 0 0 0 0 0 0 0 0
"1700020O03Rik" 247 11 34 275 0 825 0 226 0 96
"1700021C14Rik" 209 31 0 7 0 201 0 15 0 2
"1700021F05Rik" 3530 774 1195 53 4 4901 825 157 1188 17
"1700021F07Rik" 0 0 0 0 0 0 0 0 0 61
"1700021K19Rik" 0 0 11 4282 1570 236 1082 372 25 17328
"1700022A21Rik" 0 0 0 2 0 6 0 0 0 0
"1700022E09Rik" 0 0 0 0 0 0 0 0 0 0
"1700022I11Rik" 0 0 0 0 0 0 0 0 0 0
"1700022P22Rik" 0 0 0 0 0 0 0 0 0 0
"1700023A16Rik" 0 0 0 21 0 0 0 0 8 71
"1700023E05Rik" 0 0 1 96 0 204 0 26 0 339
"1700023F02Rik" 0 0 0 0 0 0 0 0 0 0
"1700023I07Rik" 0 0 3 0 0 1 0 326 0 0
"1700023L04Rik" 0 0 0 213 0 0 0 125 0 91
"1700024G13Rik" 0 0 0 0 0 0 0 0 0 0
"1700024P03Rik" 0 0 0 0 0 0 0 0 0 0
"1700024P04Rik" 0 0 0 0 0 0 0 0 0 0
"1700024P16Rik" 0 0 1 2673 0 30 328 523 0 6547
"1700025B11Rik" 0 0 0 0 0 0 0 0 0 2
"1700025C18Rik" 0 0 0 0 0 0 0 0 0 0
"1700025E21Rik" 0 0 0 0 0 0 0 0 0 0
"1700025F22Rik" 0 7 0 0 0 0 0 0 0 0
"1700025F24Rik" 0 0 0 0 0 0 0 2 0 0
"1700025G04Rik" 274 0 59 371 0 18 0 95 183 796
"1700025K23Rik" 0 0 0 23 0 1 0 0 0 8
"1700025N23Rik" 0 0 0 0 0 1 0 0 0 0
"1700026D08Rik" 363 0 0 0 0 0 0 0 1 0
"1700026D11Rik" 0 0 0 0 0 0 0 0 0 0
"1700026J04Rik" 0 0 0 489 0 0 7 38 552 1784
"1700026L06Rik" 0 0 0 0 0 1 0 0 0 0
"1700027A15Rik" 0 0 0 0 0 0 0 0 0 0
"1700027A23Rik" 0 0 0 0 0 0 0 0 0 0
"1700027D21Rik" 0 0 0 0 0 0 0 0 0 0
"1700027H10Rik" 0 0 0 0 0 0 0 0 0 0
"1700027J07Rik" 0 0 0 0 0 0 0 0 0 0
"1700027L20Rik" 0 0 0 0 0 0 2 0 0 0
"1700028B04Rik" 0 0 0 0 0 0 0 0 0 0
"1700028I16Rik" 0 0 0 90 0 0 0 2 4 101
"1700028J19Rik" 0 0 0 15 0 0 0 0 1 0
"1700028K03Rik" 0 1 0 226 0 5 0 5 2 198
"1700028M03Rik" 0 0 0 0 0 0 0 0 0 0
"1700028P14Rik" 0 0 0 0 0 0 0 1 0 0
"1700028P15Rik" 0 0 0 0 0 0 0 0 0 0
"1700029B22Rik" 0 0 0 0 0 0 0 0 0 0
"1700029F09Rik" 853 1419 95 761 1 3319 787 721 0 811
"1700029F12Rik" 0 0 0 2 0 0 0 118 0 0
"1700029G01Rik" 413 117 0 52 82 0 111 0 248 51
"1700029H14Rik" 0 0 0 0 0 0 0 0 0 0
"1700029I01Rik" 0 0 0 18 0 121 151 11 56 10
"1700029I15Rik" 0 0 0 0 0 0 0 0 0 0
"1700029J03Rik" 0 0 0 0 0 0 0 0 0 0
"1700029J07Rik" 0 0 0 9 0 1 0 0 0 0
"1700029J11Rik" 0 5 0 0 0 0 0 0 0 0
"1700029M20Rik" 0 0 0 0 0 0 0 0 0 0
"1700029P11Rik" 174 200 11 2 11 1 277 0 435 0
"1700030C10Rik" 0 78 0 0 0 10 0 1 68 1
"1700030F18Rik" 0 301 1 17 0 543 0 6 0 71
"1700030J22Rik" 0 359 30 1317 0 1820 0 51 6 2835
"1700030K09Rik" 0 0 0 179 0 771 720 316 0 669
"1700030L20Rik" 0 0 0 0 0 6 0 0 0 0
"1700031F05Rik" 0 0 0 0 0 0 0 0 0 0
"1700031M16Rik" 0 0 0 0 0 0 0 0 0 0
"1700034E13Rik" 0 0 0 0 0 0 0 0 0 0
"1700034F02Rik" 0 2 0 29 5 1019 0 1 0 0
"1700034H14Rik" 12 1 7 614 0 78 0 41 675 1469
"1700034H15Rik" 265 428 31 25 0 98 0 1 0 0
"1700034I23Rik" 0 0 0 0 0 0 0 0 0 0
"1700034J05Rik" 0 0 0 69 0 0 0 0 0 2
"1700034O15Rik" 0 0 0 39 1 2 0 0 0 0
"1700034P13Rik" 0 0 0 0 0 0 0 0 0 1
"1700036G14Rik" 0 0 0 0 0 0 0 0 0 0
"1700037C18Rik" 0 0 0 0 0 0 0 0 0 0
"1700037H04Rik" 0 226 143 148 2 7 0 178 0 256
"1700039E15Rik" 0 0 0 0 0 0 0 0 0 87
"1700040I03Rik" 298 13 228 358 0 1560 486 74 435 1581
"1700040L02Rik" 0 0 0 0 0 0 0 3 0 0
"1700040N02Rik" 0 0 0 0 0 0 0 0 0 2
"1700041C23Rik" 0 0 0 0 0 0 0 0 0 0
"1700041M19Rik" 0 0 0 0 0 0 0 0 0 0
"1700042B14Rik" 0 2 0 138 0 0 0 13 0 471
"1700042G07Rik" 0 0 0 0 0 0 0 0 0 0
"1700042G15Rik" 0 274 2 0 12 115 0 0 47 0
"1700044K03Rik" 0 0 0 0 0 0 0 0 4 0
"1700045H11Rik" 0 0 0 0 0 0 0 0 0 0
"1700045I19Rik" 0 0 0 0 0 0 0 0 0 5
"1700047G03Rik" 0 0 0 1 0 0 0 0 0 38
"1700047I17Rik2|Fam177a" 268 54 26.5 103.5 0 739.5 118 118.5 14.5 493
"1700047M11Rik" 0 0 0 0 0 0 0 0 0 0
"1700048O20Rik" 0 6 0 17 0 0 0 20 105 193
"1700049E15Rik" 0 0 0 0 0 348 1 0 0 0
"1700049E22Rik" 0 0 0 0 0 0 0 0 0 0
"1700049G17Rik" 0 8 31 219 0 615 3 175 0 243
"1700049L16Rik" 0 0 0 0 0 165 0 0 0 0
"1700052I22Rik" 0 0 0 0 0 0 0 0 0 0
"1700052K11Rik" 62 1 0 0 0 10 0 153 0 0
"1700052N19Rik" 35 2 0 3 0 98 1 3 809 0
"1700054K19Rik" 0 0 0 0 0 0 0 0 0 0
"1700054N08Rik" 365 4 0 168 0 305 1 548 217 97
"1700054O13Rik" 0 0 0 0 0 0 0 0 0 0
"1700056E22Rik" 0 0 0 0 0 0 0 0 0 55
"1700057G04Rik" 0 0 0 0 0 0 0 0 0 0
"1700057K13Rik" 0 0 0 20 2 0 0 0 0 1
"1700058C13Rik" 0 0 0 0 0 0 0 0 0 0
"1700058G18Rik" 0 0 0 0 0 0 0 0 0 0
"1700060C20Rik" 0 0 0 0 0 0 0 0 0 0
"1700061F12Rik" 0 0 0 38 0 0 0 0 0 0
"1700061G19Rik" 679 638 22 2 0 849 0 94 857 0
"1700061I17Rik" 0 0 0 0 1 3 0 0 0 0
"1700061J05Rik" 0 0 0 0 0 0 1 0 0 0
"1700063A18Rik" 0 0 0 0 0 0 0 0 0 0
"1700063D05Rik" 0 0 0 0 0 0 1 1 4 0
"1700065D16Rik" 0 0 0 0 0 0 0 0 0 0
"1700065I16Rik" 0 0 0 0 0 0 0 0 0 0
"1700065I17Rik" 0 0 0 0 0 321 0 43 0 0
"1700065J11Rik" 0 0 0 0 0 0 0 0 0 0
"1700065J18Rik" 0 0 0 0 0 0 0 0 0 0
"1700066B17Rik" 0 0 0 0 0 0 0 0 0 0
"1700066B19Rik" 0 0 0 0 0 0 0 0 0 0
"1700066M21Rik" 0 42 0 828 0 1196 199 34 758 1991
"1700066O22Rik" 0 0 0 0 0 0 0 0 0 0
"1700067G17Rik" 0 0 0 0 0 0 0 0 0 0
"1700067K01Rik" 0 0 0 0 0 4 2 0 0 14
"1700067P10Rik" 0 0 0 0 0 0 0 0 0 0
"1700069L16Rik" 0 0 0 0 0 14 0 78 0 2
"1700069P05Rik" 0 0 0 0 0 0 0 0 0 0
"1700071K01Rik" 0 0 0 0 2 1 0 1 1 3
"1700072E05Rik" 0 0 0 0 0 0 0 0 0 0
"1700073E17Rik" 3 0 0 0 2 7 7 0 2 0
"1700074P13Rik" 0 0 0 0 1 0 0 0 0 0
"1700080E11Rik" 0 0 0 0 0 0 0 0 0 0
"1700080N15Rik" 0 0 0 0 0 0 0 0 0 0
"1700080O16Rik" 0 0 0 0 0 0 0 0 0 0
"1700081L11Rik" 923 846 228 1033 1 15732 1733 1573 826 4611
"1700084C01Rik" 0 0 0 0 0 0 0 0 0 0
"1700084E18Rik" 0 0 0 0 0 0 0 0 104 0
"1700084J12Rik" 10 14 1 4 0 89 9 81 59 3
"1700085B03Rik" 0 0 0 0 0 0 0 0 0 0
"1700086L19Rik" 0 0 0 2 0 2 0 0 0 0
"1700086O06Rik" 0 0 0 0 10 0 110 0 0 0
"1700088E04Rik" 0 9 0 0 0 80 0 0 0 7
"1700090G07Rik" 0 0 0 0 0 0 0 0 0 0
"1700092M07Rik" 0 0 0 0 0 504 0 0 0 0
"1700093K21Rik" 0 0 1 7 0 1505 1 94 0 1
"1700094D03Rik" 49 77 0 157 2 62 273 33 198 112
"1700094J05Rik" 0 0 0 0 0 0 0 0 0 0
"1700096J18Rik" 0 0 0 0 0 0 0 0 0 0
"1700096K18Rik" 0 0 0 31 0 742 2 0 330 0
"1700101E01Rik" 0 0 0 333 0 14 0 12 0 491
"1700102P08Rik" 0 0 0 0 0 682 0 0 0 0
"1700106J16Rik" 0 0 0 0 0 0 0 0 0 0
"1700106N22Rik" 0 0 0 843 0 1 0 64 70 2400
"1700108F19Rik" 0 0 0 0 0 0 0 0 0 0
"1700108J01Rik" 0 0 0 0 0 0 0 0 0 0
"1700108M19Rik" 0 1 0 6 1 1 0 0 0 1
"1700109F18Rik" 0 0 0 0 0 0 0 0 0 0
"1700109G14Rik" 0 0 0 0 0 0 0 0 0 0
"1700109H08Rik" 3 1 0 3 0 2 0 0 0 3
"1700110I01Rik" 0 0 0 0 0 0 0 0 0 0
"1700110M21Rik" 0 0 0 0 0 0 0 0 0 0
"1700111N16Rik" 0 0 0 0 0 0 0 0 0 0
"1700112E06Rik" 0 0 0 0 0 0 0 1 0 13
"1700112H15Rik" 0 0 0 27 0 0 0 2 0 124
"1700113H08Rik" 0 0 0 0 0 0 0 0 0 0
"1700113I22Rik" 0 7 26 63 0 0 0 1 0 463
"1700119H24Rik" 0 0 0 0 0 0 0 0 0 0
"1700120K04Rik" 0 9 0 0 0 0 0 1 0 0
"1700121N20Rik" 0 0 0 0 0 0 1 0 0 0
"1700123I01Rik" 0 0 0 0 0 137 0 0 0 19
"1700123K08Rik" 0 0 0 0 0 0 0 0 0 0
"1700123L14Rik" 0 0 0 0 0 0 0 0 0 0
"1700123M08Rik" 0 0 0 0 0 0 0 0 0 0
"1700123O20Rik" 1251 123 0 0 3086 1127 168 104 1109 0
"1700125D06Rik" 0 0 0 0 0 0 0 0 0 0
"1700125G02Rik" 0 0 0 0 0 14 0 0 0 0
"1700125G22Rik" 0 0 0 0 0 0 0 0 0 0
"1700125H03Rik" 0 0 0 0 0 0 0 0 0 0
"1700125H20Rik" 0 32 0 13 0 0 0 0 0 0
"1700128F08Rik" 0 0 0 0 0 29 0 4 0 0
"1700129C05Rik" 0 0 0 0 0 0 1 0 0 0
"1810006J02Rik" 0 0 0 0 0 0 0 0 0 0
